gene_name	entrez_id
ARPC2_CN	10109
ARPC3_CN	10094
ARPC4_CN	10093
ARPC4.TTLL3_CN	NA
ARPC5_CN	10092
ARPC5L_CN	81873
ARPP19_CN	10776
ARPP21_CN	10777
ARRB1_CN	408
ARRB2_CN	409
ARRDC1_CN	92714
ARRDC2_CN	27106
ARRDC3_CN	57561
ARRDC4_CN	91947
ARRDC5_CN	645432
ARSA_CN	410
ARSB_CN	411
ARSG_CN	22901
ARSI_CN	340075
ARSJ_CN	79642
ARSK_CN	153642
ART1_CN	417
ART3_CN	419
ART4_CN	420
ART5_CN	116969
ARTN_CN	9048
ARV1_CN	64801
ARVCF_CN	421
AS3MT_CN	57412
ASAH1_CN	427
ASAH2_CN	56624
ASAH2B_CN	653308
ASAP1_CN	50807
ASAP2_CN	8853
ASAP3_CN	55616
ASB1_CN	51665
ASB10_CN	136371
ASB13_CN	79754
ASB14_CN	142686
ASB15_CN	142685
ASB16_CN	92591
ASB17_CN	127247
ASB18_CN	401036
ASB2_CN	51676
ASB3_CN	51130
ASB4_CN	51666
ASB5_CN	140458
ASB6_CN	140459
ASB7_CN	140460
ASB8_CN	140461
ASCC1_CN	51008
ASCC2_CN	84164
ASCC3_CN	10973
ASCL1_CN	429
ASCL2_CN	430
ASCL3_CN	56676
ASCL4_CN	121549
ASCL5_CN	647219
ASF1A_CN	25842
ASF1B_CN	55723
ASGR1_CN	432
ASGR2_CN	433
ASH1L_CN	55870
ASH2L_CN	9070
ASIC1_CN	41
ASIC2_CN	40
ASIC3_CN	9311
ASIC4_CN	55515
ASIC5_CN	51802
ASIP_CN	434
ASL_CN	435
ASNS_CN	440
ASNSD1_CN	54529
ASPA_CN	443
ASPDH_CN	554235
ASPG_CN	374569
ASPH_CN	444
ASPHD1_CN	253982
ASPHD2_CN	57168
ASPM_CN	259266
ASPN_CN	54829
ASPRV1_CN	151516
ASPSCR1_CN	79058
ASRGL1_CN	80150
ASS1_CN	445
ASTE1_CN	28990
ASTL_CN	431705
ASTN1_CN	460
ASTN2_CN	23245
ASXL1_CN	171023
ASXL2_CN	55252
ASXL3_CN	80816
ASZ1_CN	136991
ATAD1_CN	84896
ATAD2_CN	29028
ATAD2B_CN	54454
ATAD3A_CN	55210
ATAD3B_CN	83858
ATAD3C_CN	219293
ATAD5_CN	79915
ATAT1_CN	79969
ATCAY_CN	85300
ATE1_CN	11101
ATF1_CN	466
ATF2_CN	1386
ATF3_CN	467
ATF4_CN	468
ATF5_CN	22809
ATF6_CN	22926
ATF6B_CN	1388
ATF7_CN	11016
ATF7IP_CN	55729
ATF7IP2_CN	80063
ATG10_CN	83734
ATG12_CN	9140
ATG13_CN	9776
ATG14_CN	22863
ATG16L1_CN	55054
ATG16L2_CN	89849
ATG2A_CN	23130
ATG2B_CN	55102
ATG3_CN	64422
ATG4B_CN	23192
ATG4C_CN	84938
ATG4D_CN	84971
ATG5_CN	9474
ATG7_CN	10533
ATG9A_CN	79065
ATG9B_CN	285973
ATIC_CN	471
ATL1_CN	51062
ATL2_CN	64225
ATL3_CN	25923
ATM_CN	472
ATMIN_CN	23300
ATN1_CN	1822
ATOH1_CN	474
ATOH7_CN	220202
ATOH8_CN	84913
ATOX1_CN	475
ATP10A_CN	57194
ATP10B_CN	23120
ATP10D_CN	57205
ATP11A_CN	23250
ATP11B_CN	23200
ATP12A_CN	479
ATP13A1_CN	57130
ATP13A2_CN	23400
ATP13A3_CN	79572
ATP13A4_CN	84239
ATP13A5_CN	344905
ATP1A1_CN	476
ATP1A2_CN	477
ATP1A3_CN	478
ATP1A4_CN	480
ATP1B1_CN	481
ATP1B2_CN	482
ATP1B3_CN	483
ATP2A1_CN	487
ATP2A2_CN	488
ATP2A3_CN	489
ATP2B1_CN	490
ATP2B2_CN	491
ATP2B4_CN	493
ATP2C1_CN	27032
ATP2C2_CN	9914
ATP4A_CN	495
ATP4B_CN	496
ATP6V0A1_CN	535
ATP6V0A2_CN	23545
ATP6V0A4_CN	50617
ATP6V0B_CN	533
ATP6V0C_CN	527
ATP6V0D1_CN	9114
ATP6V0D2_CN	245972
ATP6V0E1_CN	8992
ATP6V0E2_CN	155066
ATP6V1A_CN	523
ATP6V1B1_CN	525
ATP6V1B2_CN	526
ATP6V1C1_CN	528
ATP6V1C2_CN	245973
ATP6V1D_CN	51382
ATP6V1E1_CN	529
ATP6V1E2_CN	90423
ATP6V1F_CN	9296
ATP6V1G1_CN	9550
ATP6V1G2_CN	534
ATP6V1G2.DDX39B_CN	NA
ATP6V1G3_CN	127124
ATP6V1H_CN	51606
ATP7B_CN	540
ATP8A1_CN	10396
ATP8A2_CN	51761
ATP8B1_CN	5205
ATP8B2_CN	57198
ATP8B3_CN	148229
ATP8B4_CN	79895
ATP9A_CN	10079
ATP9B_CN	374868
ATPAF1_CN	64756
ATPAF2_CN	91647
ATR_CN	545
