Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
Sample133,0.0110715097609972,0.0124880537020525,0.0236989300166289,0.0689711842895858,0,0.137523020382385,0.129140713636502,0.0563409427589781,0,0,0.0376126355957476,0,0.00703680130307922,0.125233118901962,0.0369570784596777,0.311449221331148,0.0221023234423339,0,0.103844577426134,0,0.0193730973241926,0.0195668516762431,0,0.533079731727096,0.854323420453288,1.12241006000765
Sample134,0.0296548421092009,0.0395799951712645,0.0534205878654692,0.140519268005325,0.0114894826676195,0.358747825126999,0.0895221504837905,0.061087714684767,0,0,0,0,0.0700350328320171,0.0101357010708982,0.0567564567910769,0.248856572112554,0,0.013057996507343,0.0715324562093383,0.0636860634464021,0,0.00980908554590138,0,0.798539135844349,0.712477730391746,1.32789123062997
Sample135,0.0062466365539025,0.0458700826712605,0.00535388005066206,0.0210919824733019,0,0.149992112277658,0.0963530665179657,0.0369852318631686,0,0.0315533967928366,0.0665292476464739,0,0.00934477681015396,0.0527566342046646,0.0205706634641151,0.338443158743642,0.0147350308786399,0.000307662049459291,0.0653111592799876,0,0.031324542606591,0.00165080143886528,0,0.526450751372369,0.856889383260318,0.994420066323348
Sample137,0.0481555190642901,0.0415360699602594,0.118466979018375,0.258518055332229,0,0.388035042867917,0.109060384689619,0.130366455805975,0,0.0595801533411157,0,0.00143453236241795,0.00467508733854321,0.215066768882234,0.206315344720016,0.548585063286141,0,0,0.0166358335788227,0,0,0,0,0.781521484492398,0.708219039527604,2.14643129024795
Sample13,0.0174338100821856,0,0.0135010239671075,0.0401437901033683,0,0.0939010948615008,0.0212582510699268,0.0281422754998726,0,0,0.0203381032300059,0.00293505849716123,0.0430839600485386,0.14539705907948,0.0187614401308312,0.188909533996574,0.00198614020617787,0.000675199773821679,0,0.0319562500425283,0.0422779631241101,0.00193382892235072,0,0.595335644174304,0.812666863181382,0.712634782635541
Sample140,0.0568671769732787,0,0.00727169641260248,0.0527055864099052,0,0.018252092599156,0.0326645056811333,0.054526524362219,0,0.0336671334009536,0.00389792471777372,0,0.0168425559119133,0.0677203701721297,0.00449807447679876,0.346609248299129,0.00426049825064658,0.00558516645515985,0.0388590650355015,0,0.0196050120772469,0,0,0.337089103650433,0.950048055070688,0.763832631235547
Sample141,0.00895419848776156,0,0.00546729228417034,0.0344997684353813,0,0.0825588392502374,0.0308019767269692,0.0154511751870703,0,0,0.0389830416882377,0,0.000598923859287789,0.26088328052149,0.00308928277292715,0.105364457837815,0,0.0155295962072702,0.0327279431374508,0.00209017695911183,0.0156442227565945,0,0,0.500988441591339,0.866748839013286,0.652644176111775
Sample142,0.035238716581758,0,0.0083452504368438,0.0547829677947891,0.0558084236970608,0.0361039516883025,0.0539244964300538,0.101639320097778,0.0114470675721798,0.17682173430126,0,0,0.0741844008847797,0.045598176016757,0.0141800209369731,0.64760807741111,0.0138857774769926,0,0.0892715954320463,0,0.00943143811290022,0.00563334037662727,0,0.494446992902107,0.869124263504159,1.43390475524821
Sample143,0.0503775592651857,0,0.00884598070827155,0.0574637946389494,0,0.0954459526507775,0.0500108874183242,0.0576298282292026,0.0802212704500803,0.0319150760702839,0.086836009054766,0,0.0390072955705667,0.024482496913944,0.0405175087220252,0.2502539362314,0.0200515005276085,0.0266869331599977,0.0759791145100323,0.0261581602834956,0.0487916027725594,0.0141581120824399,0,0.252707217009834,0.977137009517112,1.08483301925991
Sample144,0.00690410435772505,0.00932661790791533,0.00201267328017801,0.0982747986994099,0,0.125684886792905,0.118015637899699,0,0,0,0.0696649575558224,0,0.0619078131260983,0.0287601421470298,0.0108519864492462,0.404524415257367,0.00581227680675581,0.00445771300839696,0.0631714037511307,0,0,0,0,0.360350684666216,0.935525817366632,1.00936942703968
