Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
Sample147,0.00418686993186383,0.00871463280410093,0.011123164952898,0.0197859963314022,0,0.102699081541063,0.0403402858957098,0.0480836725080701,0,0,0.0529429776560574,0,0.0151710910965732,0.108118177891858,0.0122328979406405,0.178861312093844,0,0.0222819445908152,0.0200043386639827,0.00911228932935188,0.0192910378656375,0.000961045662958487,0,0.475244645316067,0.879876509330595,0.673910816756827
Sample148,0.0184514632885328,0,0.0121645824994162,0.0356497748704648,0,0.06016595510225,0.0197275415279678,0.0224704806693033,0.004128752852852,0.0106108540209157,0.0130521019204361,0,0.0143589719831941,0.2449383364369,0.0112065448798117,0.325309505230052,0.0120186627596724,0,0.0788217562149397,0,0.049259237225865,0,0,0.658922936000152,0.762707333804292,0.932334521482574
Sample149,0.0426629423684557,0.108423414148886,0.0337907516896229,0.247841142182939,0,0.424231362547653,0.0651910386725654,0.00937726119324507,0,0.0666456859859278,0,0,0.233685061800289,0.0972868353282569,0.0626539833046392,0.817756296174558,0.0060564065132068,0.00575788917758497,0.000818592233794633,0.0225734593619559,0,0.0156572181430782,0,0.836904544542074,0.669221603959254,2.26040934082666
Sample14,0.0197207615298002,0,0.0259388997070003,0.0992846235781447,0,0.266758118707806,0.115908023789304,0.0344528401747896,0,0,0.0351734767604653,0,0.12950535277574,0.145959385262733,0.0500284199087203,0.436040775592215,0,0,0.0409990707376344,0.00722470710683339,0.0415983785488051,0,0,0.7266155510845,0.746776666344981,1.44859283417999
Sample150,0.0348191694258169,0,0.0424105173959565,0.0574878289403823,0,0.288332492668634,0.0314428733796401,0.0261433766656184,0,0,0.00989948107480442,0,0.0475426163735566,0.0179723575847413,0.0161483934099693,0.299825856497696,0.00668859279555423,0.00779922643873342,0.00861000857913337,0.00350054024859204,0.0255012843199932,0.00100821151262587,0,0.57841257334665,0.827698736992368,0.925132827311447
Sample154,0.0255122448352368,0.0278339340851378,0.0186433074355069,0.0190807891724534,0,0.16290861825121,0.00474639970422041,0,0.00323243795701935,0,0.0605649100534168,0,0.0215017876777666,0.0184314652413089,0.00394794153547189,0.211715265409177,0.012771727925983,0.00269519875604627,0.497210847871536,0,0,0.00223961176131108,0,0.739782676245164,0.697847662975144,1.0930364876728
Sample155,0.000396754360013642,0.0104583147922829,0.00916859398539607,0.0177973035931912,0,0.0982628283257238,0,0.0617610363531898,0,0.00903703085716251,0.016519619629887,0.00801895540833615,0.00534442701914279,0.333408278069892,0.0312490948048742,0.264117639400804,0.00841864460335865,0.0124664784756994,0.0436945152377341,0.00041284029740012,0.00556894351963271,0,0,0.842605548538215,0.602876888542047,0.936101298733721
Sample156,0.0206096974876729,0.0051577327724399,0.0148922785624396,0.00277393399190511,0.014818828712746,0.0440202552705875,0.0555562198274982,0.00772055969294768,0,0,0.0394538724072975,0,0.0199670075701537,0.366182649143087,0.000375655283727222,0.352693204701204,0,0.00897667195922458,0.0494814701743896,0,0,0.0160955507524201,0,0.837845589336653,0.595459887834497,1.01877558830974
Sample158,0.0360449985041574,0,0.0282512413264708,0.0759294457938535,0,0.263562336691546,0.0609386187326243,0.0425914281049734,0,0,0.0464341284482892,0.00928334372524683,0.0399588991958545,0.153884574197586,0.0417190119034385,0.28398604736796,0,0,0.0118128166804043,0,0,0.00430497056655108,0,0.776137716489736,0.709991340462773,1.09870186123896
Sample159,0.0503407773646434,0,0.0230538997190869,0.0247293886162098,0,0.25110617755852,0.0419566550354277,0.0525716396388793,0,0,0.0491294763341777,0,0.0397851125237847,0.249354997315044,0.0150575408072609,0.260227616621788,0,0.0138664462679785,0,0.0739202158693782,0.0121921465742468,0.0277717861132037,0,0.729998218242754,0.733404413806293,1.18506387635963
Sample15,0.00311043010969744,0,0.0105970956487812,0.278837085785425,0,0.16741189421154,0.129722881506698,0.0457589504559731,0,0.123526087072777,0,0,0,0.0430345709530731,0.053890476600783,0.360998635260162,0.0389542568906092,0,0.0388105179493176,0.000251278006559593,0.0103426309946446,0,0,0.724335790640647,0.738127370450712,1.30524679144604
Sample162,0.00810216737942747,0.0117613670880257,0.0404537253102756,0.143758007182203,0,0.222686797274394,0.0138704805874873,0.0269014834372463,0,0,0.0301195176030071,0.0255648573456486,0.0366956710104597,0.0581929402449866,0.0404047658215315,0.289809508369557,0.0032607189369009,0,0.0145171377978097,0,0.0228066244385864,0.00446230652308795,0,0.600319885433301,0.813903349983516,0.993368076350635
Sample163,0.0665599151961954,0.0732884082871689,0.0062933860599675,0.078216881481086,0.00661219833875118,0.353761116568726,0.000829927003867602,0.0100401475858552,0,0,0.0637832576642162,0,0.0268429220593083,0.057487735525729,0.0131344973993976,0.243106172359443,0,0.0110640953852915,0.0275085887819607,0.00858176793778681,0,0.0008266851393086,0,0.770781547470999,0.711867157741345,1.04793770277406
